epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3457.63,0.60544,0.33856,1.01828,0.97576,0.97834,0.98939,0.9306,0.35832,0.13977,0.8966,0.000743468,0.000743468,0.000743468
70,3507.95,0.60362,0.32838,1.00872,0.97373,0.98244,0.98883,0.92558,0.37532,0.13619,0.90396,0.000736625,0.000736625,0.000736625
71,3557.26,0.5878,0.3217,1.0093,0.97444,0.97927,0.98928,0.9266,0.37173,0.14264,0.90007,0.000729725,0.000729725,0.000729725
72,3609.62,0.59436,0.32583,1.01266,0.98038,0.97862,0.9905,0.92542,0.37839,0.14411,0.9044,0.00072277,0.00072277,0.00072277
73,3659.63,0.58946,0.3214,1.01199,0.97664,0.9798,0.98813,0.93156,0.35456,0.143,0.89145,0.000715761,0.000715761,0.000715761
74,3708.39,0.59288,0.32365,1.0133,0.97632,0.97346,0.9883,0.92644,0.374,0.14093,0.89921,0.0007087,0.0007087,0.0007087
75,3759.61,0.58573,0.31381,1.01045,0.97667,0.9774,0.98985,0.92973,0.36601,0.1443,0.89671,0.000701588,0.000701588,0.000701588
76,3808.29,0.59077,0.32191,1.01181,0.98364,0.98528,0.99006,0.92994,0.36728,0.12578,0.89455,0.000694428,0.000694428,0.000694428
77,3858.66,0.59656,0.32054,1.00588,0.97924,0.98523,0.99152,0.93344,0.36453,0.13437,0.89249,0.000687222,0.000687222,0.000687222
78,3907.7,0.58034,0.30297,1.00313,0.97392,0.97856,0.98701,0.93002,0.36306,0.14315,0.89279,0.00067997,0.00067997,0.00067997
79,3960.61,0.57693,0.31295,1.00539,0.975,0.98542,0.98889,0.92494,0.37598,0.1412,0.90267,0.000672675,0.000672675,0.000672675
80,4009.6,0.57578,0.31666,1.00555,0.97397,0.99148,0.99016,0.93179,0.36493,0.13524,0.89419,0.000665339,0.000665339,0.000665339
81,4058.2,0.5732,0.30769,0.99548,0.97112,0.99144,0.99058,0.93234,0.35803,0.13466,0.89269,0.000657963,0.000657963,0.000657963
82,4109.79,0.58266,0.31537,1.00352,0.97128,0.98546,0.99197,0.92784,0.3671,0.14232,0.89947,0.00065055,0.00065055,0.00065055
83,4158.51,0.56885,0.3016,0.99924,0.97926,0.97881,0.99079,0.93255,0.35859,0.13649,0.89252,0.000643101,0.000643101,0.000643101
84,4208.27,0.57833,0.30552,1.00217,0.97305,0.98548,0.99081,0.92833,0.36188,0.14065,0.89491,0.000635617,0.000635617,0.000635617
85,4256.67,0.57123,0.31057,0.99695,0.97307,0.98649,0.99003,0.92884,0.36787,0.14117,0.89548,0.000628101,0.000628101,0.000628101
86,4304.75,0.5736,0.30395,1.00202,0.97955,0.98254,0.98925,0.93012,0.36448,0.13396,0.89435,0.000620555,0.000620555,0.000620555
87,4360.5,0.55808,0.29241,0.99465,0.97458,0.9845,0.99035,0.93312,0.35458,0.13092,0.88911,0.000612981,0.000612981,0.000612981
88,4413.77,0.57133,0.29933,0.9963,0.97398,0.99135,0.99136,0.93665,0.35008,0.12528,0.88616,0.00060538,0.00060538,0.00060538
89,4473.66,0.54686,0.29167,0.99179,0.9769,0.98564,0.99147,0.931,0.36406,0.13433,0.89339,0.000597754,0.000597754,0.000597754
90,4522.16,0.55679,0.29806,0.99633,0.97844,0.98638,0.99192,0.93285,0.35836,0.12722,0.88857,0.000590105,0.000590105,0.000590105
91,4571.93,0.56083,0.2978,0.98952,0.97929,0.98393,0.9912,0.93414,0.35746,0.12739,0.89137,0.000582435,0.000582435,0.000582435
92,4620.85,0.56048,0.28908,0.9849,0.97342,0.98763,0.99094,0.9322,0.3543,0.12882,0.88792,0.000574746,0.000574746,0.000574746
93,4669.34,0.55192,0.29026,0.9896,0.9769,0.98766,0.99037,0.92499,0.37658,0.12875,0.89965,0.00056704,0.00056704,0.00056704
94,4719.46,0.54801,0.28487,0.98456,0.98635,0.97988,0.99017,0.9321,0.35733,0.12232,0.89105,0.000559318,0.000559318,0.000559318
95,4769.24,0.55671,0.28753,0.99192,0.98081,0.98897,0.99203,0.93415,0.34817,0.12595,0.88595,0.000551584,0.000551584,0.000551584
96,4820.35,0.54666,0.27702,0.99159,0.97811,0.99056,0.9921,0.9305,0.35943,0.12514,0.89375,0.000543837,0.000543837,0.000543837
97,4869.96,0.54822,0.28936,0.98838,0.97904,0.98519,0.99151,0.93351,0.35217,0.12449,0.88755,0.000536081,0.000536081,0.000536081
98,4919.02,0.54758,0.27942,0.99052,0.98093,0.98436,0.99192,0.93427,0.34765,0.12146,0.88608,0.000528318,0.000528318,0.000528318
99,4968.77,0.54972,0.27773,0.98393,0.98224,0.98748,0.99102,0.93653,0.34972,0.12571,0.8855,0.000520548,0.000520548,0.000520548
100,5016.62,0.53599,0.27798,0.98542,0.97978,0.98504,0.98918,0.92877,0.36484,0.13283,0.89219,0.000512775,0.000512775,0.000512775
101,5067.32,0.5375,0.25725,0.97459,0.98245,0.98705,0.98916,0.92585,0.36916,0.13092,0.89584,0.000505,0.000505,0.000505
102,5117.38,0.52889,0.25971,0.97406,0.98262,0.98433,0.99057,0.93209,0.35711,0.13132,0.88788,0.000497225,0.000497225,0.000497225
103,5167.05,0.53624,0.27511,0.97969,0.9905,0.98161,0.99096,0.93396,0.35205,0.12439,0.88789,0.000489452,0.000489452,0.000489452
104,5220.1,0.53017,0.26492,0.98364,0.98268,0.98774,0.9912,0.93489,0.34998,0.12106,0.88633,0.000481682,0.000481682,0.000481682
105,5282.99,0.53044,0.27544,0.98078,0.98201,0.98594,0.99152,0.93557,0.3515,0.12742,0.8846,0.000473919,0.000473919,0.000473919
106,5345.96,0.53647,0.26688,0.97937,0.97863,0.98491,0.99137,0.93533,0.35327,0.13198,0.88712,0.000466163,0.000466163,0.000466163
107,5403.84,0.51696,0.25619,0.96926,0.98599,0.97869,0.98959,0.93283,0.3534,0.12968,0.88564,0.000458416,0.000458416,0.000458416
108,5453.56,0.51454,0.25581,0.9743,0.97683,0.9858,0.99021,0.93421,0.35473,0.13173,0.88932,0.000450682,0.000450682,0.000450682
109,5502.59,0.52086,0.25692,0.97663,0.98106,0.98474,0.99125,0.93394,0.35431,0.13144,0.88884,0.00044296,0.00044296,0.00044296
110,5554.54,0.52123,0.25705,0.97631,0.98409,0.97923,0.99073,0.93582,0.35469,0.12627,0.88872,0.000435254,0.000435254,0.000435254
111,5602.98,0.51599,0.25707,0.9763,0.9837,0.98556,0.99066,0.93678,0.34908,0.12113,0.88537,0.000427565,0.000427565,0.000427565
112,5653.36,0.52328,0.26438,0.9691,0.98383,0.97999,0.99146,0.93534,0.35638,0.12731,0.88841,0.000419895,0.000419895,0.000419895
113,5702.08,0.52223,0.26057,0.97138,0.98148,0.97599,0.98779,0.93269,0.35288,0.13557,0.88729,0.000412246,0.000412246,0.000412246
114,5750.67,0.5306,0.26082,0.97639,0.9813,0.97816,0.99018,0.9315,0.35968,0.13441,0.8902,0.00040462,0.00040462,0.00040462
115,5800.22,0.51387,0.25542,0.97146,0.98075,0.98413,0.99064,0.93473,0.35936,0.1268,0.89051,0.000397019,0.000397019,0.000397019
116,5850.87,0.50704,0.24387,0.96512,0.97806,0.97982,0.99122,0.93739,0.34764,0.13147,0.88518,0.000389445,0.000389445,0.000389445
117,5902.56,0.50979,0.2522,0.97218,0.98958,0.97758,0.99181,0.93789,0.34476,0.12097,0.88229,0.000381899,0.000381899,0.000381899
118,5952.35,0.50768,0.25435,0.96884,0.9888,0.97809,0.99215,0.93716,0.35331,0.12507,0.88478,0.000374383,0.000374383,0.000374383
119,6001.08,0.50275,0.25323,0.96445,0.98675,0.98653,0.99209,0.93758,0.34992,0.12083,0.88225,0.000366899,0.000366899,0.000366899
120,6050.5,0.50345,0.25322,0.96415,0.98562,0.98451,0.99221,0.93837,0.34551,0.11829,0.88047,0.00035945,0.00035945,0.00035945
121,6098.71,0.49899,0.24601,0.9624,0.98177,0.98474,0.99227,0.93987,0.34315,0.11735,0.87975,0.000352037,0.000352037,0.000352037
122,6149.77,0.50423,0.24927,0.96093,0.98925,0.9802,0.99171,0.93557,0.35293,0.12079,0.88649,0.000344661,0.000344661,0.000344661
123,6199.9,0.49122,0.24694,0.95969,0.98568,0.97851,0.99181,0.93403,0.35625,0.12707,0.88581,0.000337325,0.000337325,0.000337325
124,6249.94,0.49092,0.24173,0.96376,0.98326,0.98254,0.99146,0.93488,0.35135,0.12234,0.88295,0.00033003,0.00033003,0.00033003
125,6300.01,0.48983,0.24304,0.96072,0.98654,0.98148,0.99144,0.93632,0.3481,0.1219,0.88229,0.000322778,0.000322778,0.000322778
126,6351.13,0.49735,0.25444,0.96411,0.98747,0.97842,0.99131,0.93648,0.34831,0.12585,0.88419,0.000315572,0.000315572,0.000315572
127,6400.95,0.49694,0.24607,0.96216,0.98025,0.97707,0.99138,0.93378,0.35231,0.12975,0.8855,0.000308412,0.000308412,0.000308412
128,6449.14,0.49874,0.25056,0.96014,0.98283,0.98137,0.99151,0.93062,0.36359,0.12807,0.88979,0.0003013,0.0003013,0.0003013
129,6500.03,0.49366,0.24595,0.96611,0.98387,0.98429,0.99165,0.93429,0.35376,0.12276,0.88461,0.000294239,0.000294239,0.000294239
130,6550.45,0.48709,0.23178,0.95577,0.98278,0.9829,0.9916,0.93744,0.34698,0.12177,0.88192,0.00028723,0.00028723,0.00028723
131,6602.2,0.49367,0.24375,0.96193,0.98776,0.97869,0.99186,0.93977,0.34527,0.12122,0.88092,0.000280275,0.000280275,0.000280275
132,6652.41,0.48422,0.23307,0.95944,0.98836,0.98065,0.99206,0.93706,0.34802,0.12354,0.88105,0.000273375,0.000273375,0.000273375
